{'dataset\\train_20241014_53cases\\images'}
{'dataset\\train_20241014_53cases\\masks'}
{'dataset\\test_20241014_53cases\\images'}
{'dataset\\test_20241014_53cases\\masks'}
alpha,beta,epoch,LR,Dice,Loss,Datetime
0.9,0.9,1,0.001,0.3597726345062256,0.8278688751161098,1017_0526
0.9,0.8,1,0.001,0.47017736434936525,0.8563725935916106,1017_0531
0.9,0.7,1,0.001,0.46572519540786744,0.8156865735848745,1017_0537
0.9,0.6,1,0.001,0.40393465757369995,0.8129575637479624,1017_0543
0.9,0.5,1,0.001,0.3466754913330078,0.814231904844443,1017_0548
0.9,0.4,1,0.001,0.3895995616912842,0.8661689311265945,1017_0554
0.9,0.3,1,0.001,0.18821903467178344,0.7793894956509272,1017_0559
0.9,0.2,1,0.001,0.36870101690292356,0.8066269122064114,1017_0605
0.9,0.1,1,0.001,0.2603426337242126,0.7458104031781355,1017_0610
0.8,0.9,1,0.001,0.4575170397758484,0.8353381380438805,1017_0616
0.8,0.8,1,0.001,0.376630699634552,0.8395857115586599,1017_0621
0.8,0.7,1,0.001,0.3104502558708191,0.8339930114646753,1017_0627
0.8,0.6,1,0.001,0.3292628526687622,0.81585793197155,1017_0632
0.8,0.5,1,0.001,0.4602537274360657,0.814699271072944,1017_0638
0.8,0.4,1,0.001,0.45485682487487794,0.8009453589717547,1017_0644
0.8,0.3,1,0.001,0.35507367849349974,0.818294458091259,1017_0649
0.8,0.2,1,0.001,0.19448236227035523,0.7151433055599531,1017_0655
0.8,0.1,1,0.001,0.234002947807312,0.7127945485214392,1017_0700
0.7,0.9,1,0.001,0.423060142993927,0.8198434288303057,1017_0706
0.7,0.8,1,0.001,0.4568503499031067,0.8275584802031517,1017_0711
0.7,0.7,1,0.001,0.4459693193435669,0.7962035872042179,1017_0717
0.7,0.6,1,0.001,0.45673773288726804,0.7571622617542744,1017_0722
0.7,0.5,1,0.001,0.44817060232162476,0.8382309128840765,1017_0728
0.7,0.4,1,0.001,0.4643735647201538,0.763892992089192,1017_0734
0.7,0.3,1,0.001,0.4472653865814209,0.748845748603344,1017_0739
0.7,0.2,1,0.001,0.31831438541412355,0.7602640949189663,1017_0745
0.7,0.1,1,0.001,0.2944401741027832,0.7211125480631987,1017_0751
0.6,0.9,1,0.001,0.5146315932273865,0.7737217371662458,1017_0756
0.6,0.8,1,0.001,0.42553049325942993,0.7982425553103288,1017_0802
0.6,0.7,1,0.001,0.3859432220458984,0.8108847290277481,1017_0808
0.6,0.6,1,0.001,0.4642932295799255,0.8175250105559826,1017_0813
0.6,0.5,1,0.001,0.5073447465896607,0.7731692728896936,1017_0819
0.6,0.4,1,0.001,0.3711014986038208,0.728195903201898,1017_0825
0.6,0.3,1,0.001,0.25792559385299685,0.7612767753501734,1017_0830
0.6,0.2,1,0.001,0.3549728989601135,0.7138092145323753,1017_0836
0.6,0.1,1,0.001,0.3593759298324585,0.6780843759576479,1017_0842
0.5,0.9,1,0.001,0.39873595237731935,0.8089529275894165,1017_0847
0.5,0.8,1,0.001,0.343188738822937,0.7924368803699812,1017_0853
0.5,0.7,1,0.001,0.48960936069488525,0.7763049565255642,1017_0858
0.5,0.6,1,0.001,0.43456765413284304,0.7721219807863235,1017_0904
0.5,0.5,1,0.001,0.4715308904647827,0.7666607797145844,1017_0910
0.5,0.4,1,0.001,0.3607746124267578,0.7593529944618543,1017_0915
0.5,0.3,1,0.001,0.25727918148040774,0.7271478834251562,1017_0921
0.5,0.2,1,0.001,0.37301448583602903,0.7303658748666445,1017_0927
0.5,0.1,1,0.001,0.21750302314758302,0.6195955748359362,1017_0932
0.4,0.9,1,0.001,0.4256948590278625,0.8134774677455425,1017_0938
0.4,0.8,1,0.001,0.4317431330680847,0.8200127532084783,1017_0944
0.4,0.7,1,0.001,0.43803327083587645,0.8087497887512048,1017_0949
0.4,0.6,1,0.001,0.45626211166381836,0.7581547573208809,1017_0955
0.4,0.5,1,0.001,0.43736199140548704,0.7945048436522484,1017_1001
0.4,0.4,1,0.001,0.3872063636779785,0.7776116964717706,1017_1006
0.4,0.3,1,0.001,0.2455115556716919,0.7040096124013265,1017_1012
0.4,0.2,1,0.001,0.38526504039764403,0.6922409683465958,1017_1018
0.4,0.1,1,0.001,0.42628475427627566,0.6050371155142784,1017_1023
0.3,0.9,1,0.001,0.44895421266555785,0.7630743384361267,1017_1029
